"INST_ID","INST_Name","Address","City","State","Zip","Longitude","Latitude","Sector","Size","LandGrant","Carnegie","2020ADM_Rate","2020ENR_Rate","2019ADM_Rate","2019ENR_Rate","2018ADM_Rate","2018ENR_Rate","2017ADM_Rate","2017ENR_Rate","2016ADM_Rate","2016ENR_Rate","2015ADM_Rate","2015ENR_Rate","Head_21_TOTAL","Head_21_UG","Head_21_GR","Head_20_TOTAL","Head_20_UG","Head_20_GR","Head_19_TOTAL","Head_19_UG","Head_19_GR","Head_18_TOTAL","Head_18_UG","Head_18_GR","Head_17_TOTAL","Head_17_UG","Head_17_GR","Head_16_TOTAL","Head_16_UG","Head_16_GR","FTE2020","FTE2019","FTE2018","FTE2017","FTE2016","FTE2015","F2020_Ret","F2019_Ret","F2018_Ret","F2017_Ret","F2016_Ret","F2015_Ret","GR2020","GR2019","GR2018","GR2017","GR2016","GR2015","2020S:F","2019S:F","2018S:F","2017S:F","2016S:F","2015S:F","IN_2122_ON","OUT_2122_ON","IN_2021_ON","OUT_2021_ON","IN_1920_ON","OUT_1920_ON","IN_1819_ON","OUT_1819_ON","IN_1718_ON","OUT_1718_ON","IN_1617_ON","OUT_1617_ON","IN_1516_ON","OUT_1516_ON","UG_TOTAL_1920","UG_AID_PERC_1920","UG_PELL_PERC_1920","UG_TOTAL_1819","UG_AID_PERC_1819","UG_PELL_PERC_1819","UG_TOTAL_1718","UG_AID_PERC_1718","UG_PELL_PERC_1718","UG_TOTAL_1617","UG_AID_PERC_1617","UG_PELL_PERC_1617","UG_TOTAL_1516","UG_AID_PERC_1516","UG_PELL_PERC_1516","UG_TOTAL_1415","UG_AID_PERC_1415","UG_PELL_PERC_1415","FY20_Endow","FY19_Endow","FY18_Endow","FY17_Endow","FY16_Endow","FY15_Endow"
188641,"Alfred University","One Saxon Drive","Alfred","NY","14802-1205",-77.788106,42.254476,"Private","1,000 - 4,999","No","Master's Colleges & Universities: Larger Programs",0.641110065851364,0.131694790902421,0.624526198439242,0.163513031060336,0.626862197392924,0.162272558484961,0.627313516545149,0.186857398301296,0.627918911983577,0.170412750306498,0.684065934065934,0.125,2764,1847,917,2950,2212,738,3502,2325,1177,2812,1993,819,2756,2017,739,2623,2014,609,1875,2031,1948,2002,2081,2082,458,437,418,417,452,489,60,53,61,60,55,62,11,12,11,10,13,13,50316,51412,51412,51412,50888,50888,45104,45104,43686,43686,42524,42524,41421,41421,1715,88,42,1671,91,42,1707,91,40,1815,94,38,1806,100,39,1920,98,38,136550309,138253806,129318223,118618959,105846496,107966345
210775,"Alvernia University","400 Saint Bernardine St","Reading","PA","19607-1799",-75.936754,40.310028,"Private","1,000 - 4,999","No","Doctoral/Professional Universities
",0.700244366005973,0.178363706863125,0.642155561454739,0.164944191814799,0.6837899543379,0.242070116861436,0.708122992198256,0.240440699935191,0.74496644295302,0.259009009009009,0.74251497005988,0.240119760479042,3108,2523,585,3311,2606,705,3352,2674,678,3457,2730,727,3534,2835,699,3525,2909,616,2164,2242,2275,2267,2292,2290,399,434,371,345,401,376,57,60,53,51,53,51,14,13,12,13,12,12,56960,56960,55310,55310,53150,53150,51240,51240,49330,49330,47510,47510,45920,45920,2123,86,35,2196,86,39,2251,84,37,2323,85,36,2177,95,41,2442,87,40,14476535,26524784,26943683,24737774,21839253,22407663
238193,"Alverno College","3400 S 43rd  St","Milwaukee","WI","53234-3922",-87.965174,42.982842,"Private","1,000 - 4,999","No","Master's Colleges & Universities: Larger Programs",0.782321899736148,0.215851602023609,0.693693693693694,0.317254174397032,0.697802197802198,0.368110236220472,0.894097222222222,0.38252427184466,0.802180685358255,0.32621359223301,0.771615008156607,0.376835236541599,2158,1240,918,1986,1237,749,2003,1288,715,2140,1405,735,2238,1530,708,2427,1681,746,1573,1458,1565,1613,1672,1837,170,166,187,163,224,193,39,45,42,42,36,39,10,10,10,10,10,10,46464,46464,45216,45216,44194,44194,40693,40693,40418,40418,38551,38551,37029,37029,1105,93,57,1219,94,58,1312,93,58,1413,92,56,1558,92,57,1723,92,60,31516800,31658366,29962845,27709006,23854949,25425125
164447,"American International College","1000 State Street","Springfield","MA","01109",-72.558338,42.112346,"Private","1,000 - 4,999","No","Doctoral/Professional Universities
",0.693762781186094,0.252026529108327,0.645814167433303,0.276353276353276,0.683948569058482,0.214069132807762,0.71830985915493,0.266806722689076,0.693074501573977,0.247539742619228,0.631553398058252,0.172330097087379,2962,1437,1525,3226,1451,1775,3714,1427,2287,3824,1425,2399,4053,1473,2580,4633,1539,3094,2472,2772,2968,2339,2427,2482,373,342,369,320,337,308,47,41,44,36,41,45,18,18,16,18,17,14,57240,57240,55950,55950,54520,54520,52680,52680,50820,50820,49490,49490,47840,47840,1341,97,56,1337,95,50,1338,97,53,1414,94,48,1488,95,50,1473,95,52,21869148,20673572,19500413,17991847,15669771,15500858
131159,"American University","4400 Massachusetts Ave NW","Washington","DC","20016-8001",-77.088875,38.936005,"Private","10,000 - 19,999","No","Doctoral Universities: High Research Activity
",0.386504292273907,0.207515495867769,0.36079805877595,0.262143177402481,0.315423514538559,0.293420173680695,0.294026418525055,0.324663514005093,0.259146183699871,0.33526357827476,0.350164326262324,0.106782193008664,15586,8448,7138,16032,9206,6826,16079,9034,7045,15394,8721,6673,14971,8606,6365,14882,8666,6216,11779,12397,12537,12086,11688,11511,1753,1752,1777,1679,1779,1784,80,79,81,81,82,80,11,11,12,11,12,12,70512,70512,69366,69366,67694,67694,66268,66268,64234,64234,62272,62272,60586,60586,8527,44,14,8285,53,16,8123,56,17,7898,55,15,7909,63,17,7706,63,17,701308000,705027000,676430000,6.22e+08,558089000,5.9e+08
150066,"Anderson University","1100 E 5th St","Anderson","IN","46012-3495",-85.664315,40.112768,"Private","1,000 - 4,999","No","Master's Colleges & Universities: Small Programs",0.665044814340589,0.125914516750096,0.627436092128575,0.133118192819685,0.650234741784038,0.158443642198155,0.652504472271914,0.237834132967786,0.664150943396226,0.242045454545455,0.59618320610687,0.161068702290076,1828,1521,307,2023,1670,353,1934,1568,366,2053,1648,405,2419,1961,458,2644,2068,576,1247,1370,1504,1621,1860,1915,330,396,346,423,421,432,60,57,58,54,63,57,8,11,10,10,11,11,49060,49060,47140,47140,45270,45270,45290,45290,43450,43450,42200,42200,41060,41060,1310,96,37,1445,100,36,1566,94,37,1898,87,38,1907,92,32,1976,89,31,35109000,32246000,35280000,32408000,29902000,31276000
217633,"Anderson University","316 Boulevard","Anderson","SC","29621-4035",-82.640358,34.5152,"Private","1,000 - 4,999","No","Master's Colleges & Universities: Larger Programs",0.592008412197687,0.309946714031972,0.687307861220905,0.410862619808307,0.622857142857143,0.309995171414775,0.790697674418605,0.369825708061002,0.539203860072376,0.374161073825503,0.549367850692354,0.199578567128236,4240,3234,1006,4113,3265,848,3828,3074,754,4021,3361,660,3779,3244,535,3605,3074,531,3535,3265,3029,3064,2978,2811,639,642,679,668,665,646,59,56,53,49,52,41,16,15,15,17,17,16,46684,46684,45616,45616,44374,44374,43110,43110,42550,42550,40334,40334,39185,39185,2893,88,24,2881,87,25,2983,86,26,2735,91,29,2820,76,29,2775,87,31,48550430,45967230,46133121,44683602,40902989,41155422
168740,"Andrews University","4150 Administration Drive  Room 136","Berrien Springs","MI","49104",-86.355815,41.963859,"Private","1,000 - 4,999","No","Doctoral/Professional Universities
",0.487753673897831,0.368723098995696,0.670375521557719,0.29356846473029,0.655363321799308,0.312565997888068,0.576576576576577,0.3125,0.404220107571369,0.311156601842375,0.392094502498864,0.124488868696047,4117,1883,2234,4767,2287,2480,4754,2324,2430,4735,2348,2387,4567,2250,2317,4582,2233,2349,2483,2675,2731,2651,2643,2705,279,289,272,296,265,259,63,55,62,54,58,60,10,10,10,10,9,9,42950,42950,42748,42748,41658,41658,40566,40566,39714,39714,38626,38626,37732,37732,1693,82,22,1736,85,24,1836,78,25,1688,87,27,1733,89,29,1926,84,27,53112494,55603709,54998281,53052757,49005962,52308442
222831,"Angelo State University","2601 W. Avenue N","San Angelo","TX","76909",-100.465051,31.440914,"Public","10,000 - 19,999","No","Master's Colleges & Universities: Larger Programs",0.7816,0.43568747867622,0.765908510094557,0.479145812479146,0.732380952380952,0.499349804941482,0.735875057418466,0.491573033707865,0.743723139561185,0.480535279805353,0.767243606303281,0.347713769051925,12391,10187,2204,12030,9962,2068,11737,9384,2353,11820,9427,2393,11025,8728,2297,10063,8132,1931,7961,7950,7890,7845,7392,6609,1424,1517,1563,1556,1336,1281,34,37,36,37,31,30,21,20,20,19,20,19,22766,32558,22017,31833,21247,31375,21046,31006,19547,29507,19943,29735,19274,28634,8981,61,31,8672,62,32,8719,60,30,8032,62,31,7281,61,29,5425,77,40,179496981,185448958,189276736,169205152,154155884,158754431
164492,"Anna Maria College","50 Sunset Lane","Paxton","MA","01612-1198",-71.91896,42.330542,"Private","1,000 - 4,999","No","Master's Colleges & Universities: Medium Programs",0.860685630926331,0.102542372881356,0.740510471204188,0.119752540874945,0.73622914699402,0.135955536554083,0.7917663954045,0.164449818621524,0.827099938687922,0.161601186063751,0.800560224089636,0.131652661064426,1793,1220,573,1705,1244,461,1637,1209,428,1662,1213,449,1657,1221,436,1747,1291,456,1226,1174,1186,1137,1047,1086,269,318,272,218,232,168,46,42,39,34,40,47,12,12,12,12,11,11,57532,57532,56420,56420,55210,55210,54090,54090,53020,53020,51620,51620,53186,53186,1109,95,36,1134,94,40,1120,91,39,1057,87,35,1128,86,33,1107,85,32,6022423,5561223,5152861,4769545,4574232,4266443
